,,,,,,,,,,,,,,,,,
Main Stat,,,,Determination,,,Direct Hit,,,Critical Hit,,,,Skill Speed,,,
922,3.66,,,,,,1319,26.6%,,2927,31.6%,66.6%,,,,#VALUE!,#VALUE!
924,3.67,,,,,,1323,26.7%,,2937,31.7%,66.7%,,,,#VALUE!,#VALUE!
926,3.68,,,,,,1326,26.8%,,2946,31.8%,66.8%,,,,#VALUE!,#VALUE!
928,3.69,,,,,,1330,26.9%,,2956,31.9%,66.9%,,,,#VALUE!,#VALUE!
930,3.7,,,,,,1333,27.0%,,2965,32.0%,67.0%,,,,#VALUE!,#VALUE!
932,3.71,,,,,,1337,27.1%,,2975,32.1%,67.10%,,,,#VALUE!,#VALUE!
934,3.72,,,,,,1340,27.2%,,2984,32.2%,67.20%,,,,#VALUE!,#VALUE!
936,3.73,,,,,,1344,27.3%,,2994,32.3%,67.30%,,,,#VALUE!,#VALUE!
938,3.74,,,,,,1347,27.4%,,,,,,,,#VALUE!,#VALUE!
940,3.75,,,,,,1350,27.5%,,,,,,,,#VALUE!,#VALUE!
942,3.76,,,,,,1354,27.6%,,,,,,,,#VALUE!,#VALUE!
944,3.77,,,,,,1357,27.7%,,,,,,,,#VALUE!,#VALUE!
946,3.78,,,,,,1361,27.8%,,,,,,,,#VALUE!,#VALUE!
948,3.79,,,,,,1364,27.9%,,,,,,,,#VALUE!,#VALUE!
950,3.8,,,,,,1368,28.0%,,,,,,,,#VALUE!,#VALUE!
952,3.81,,,,,,1371,28.1%,,,,,,,,#VALUE!,#VALUE!
954,3.82,,,,,,1375,28.2%,,,,,,,,#VALUE!,#VALUE!
956,3.83,,,,,,1378,28.3%,,,,,,,,#VALUE!,#VALUE!
958,3.84,,,,,,1382,28.4%,,,,,,,,#VALUE!,#VALUE!
960,3.85,,,,,,1385,28.5%,,,,,,,,#VALUE!,#VALUE!
962,3.86,,,,,,1388,28.6%,,,,,,,,#VALUE!,#VALUE!
964,3.87,,,,,,1392,28.7%,,,,,,,,#VALUE!,#VALUE!
966,3.88,,,,,,1395,28.8%,,,,,,,,#VALUE!,#VALUE!
968,3.89,,,,,,1399,28.9%,,,,,,,,#VALUE!,#VALUE!
970,3.9,,,,,,1402,29.0%,,,,,,,,#VALUE!,#VALUE!
972,3.91,,,,,,1406,29.1%,,,,,,,,#VALUE!,#VALUE!
974,3.92,,,,,,1409,29.2%,,,,,,,,#VALUE!,#VALUE!
976,3.93,,,,,,1413,29.3%,,,,,,,,#VALUE!,#VALUE!
978,3.94,,,,,,1416,29.4%,,,,,,,,#VALUE!,#VALUE!
980,3.95,,,,,,1420,29.5%,,,,,,,,#VALUE!,#VALUE!
982,3.96,,,,,,1423,29.6%,,,,,,,,#VALUE!,#VALUE!
984,3.97,,,,,,1426,29.7%,,,,,,,,#VALUE!,#VALUE!
986,3.98,,,,,,1430,29.8%,,,,,,,,#VALUE!,#VALUE!
988,3.99,,,,,,1433,29.9%,,,,,,,,#VALUE!,#VALUE!
990,4,,,,,,1437,30.0%,,,,,,,,#VALUE!,#VALUE!
992,4.01,,,,,,1440,30.1%,,,,,,,,#VALUE!,#VALUE!
994,4.02,,,,,,1444,30.2%,,,,,,,,#VALUE!,#VALUE!
996,4.03,,,,,,1447,30.3%,,,,,,,,#VALUE!,#VALUE!
998,4.04,,,,,,1451,30.4%,,,,,,,,#VALUE!,#VALUE!
1000,4.05,,,,,,1454,30.5%,,,,,,,,#VALUE!,#VALUE!
1002,4.06,,,,,,1458,30.6%,,,,,,,,#VALUE!,#VALUE!
1004,4.07,,,,,,1461,30.7%,,,,,,,,#VALUE!,#VALUE!
1006,4.08,,,,,,1464,30.8%,,,,,,,,#VALUE!,#VALUE!
1008,4.09,,,,,,1468,30.9%,,,,,,,,#VALUE!,#VALUE!
1010,4.1,,,,,,1471,31.0%,,,,,,,,#VALUE!,#VALUE!
1012,4.11,,,,,,1475,31.1%,,,,,,,,#VALUE!,#VALUE!
1014,4.12,,,,,,1478,31.2%,,,,,,,,#VALUE!,#VALUE!
1016,4.13,,,,,,1482,31.3%,,,,,,,,#VALUE!,#VALUE!
1018,4.14,,,,,,1485,31.4%,,,,,,,,#VALUE!,#VALUE!
1020,4.15,,,,,,1489,31.5%,,,,,,,,#VALUE!,#VALUE!
1022,4.16,,,,,,1492,31.6%,,,,,,,,#VALUE!,#VALUE!
1024,4.17,,,,,,1496,31.7%,,,,,,,,#VALUE!,#VALUE!
1026,4.18,,,,,,1499,31.8%,,,,,,,,#VALUE!,#VALUE!
1028,4.19,,,,,,1502,31.9%,,,,,,,,#VALUE!,#VALUE!
1030,4.2,,,,,,1506,32.0%,,,,,,,,#VALUE!,#VALUE!
1032,4.21,,,,,,1509,32.1%,,,,,,,,#VALUE!,#VALUE!
1034,4.22,,,,,,1513,32.2%,,,,,,,,#VALUE!,#VALUE!
1036,4.23,,,,,,1516,32.3%,,,,,,,,#VALUE!,#VALUE!
1038,4.24,,,,,,1520,32.4%,,,,,,,,#VALUE!,#VALUE!
1040,4.25,,,,,,1523,32.5%,,,,,,,,#VALUE!,#VALUE!
1042,4.26,,,,,,1527,32.6%,,,,,,,,#VALUE!,#VALUE!
1044,4.27,,,,,,1530,32.7%,,,,,,,,#VALUE!,#VALUE!
1046,4.28,,,,,,1534,32.8%,,,,,,,,#VALUE!,#VALUE!
1048,4.29,,,,,,1537,32.9%,,,,,,,,#VALUE!,#VALUE!
1050,4.3,,,,,,1540,33.0%,,,,,,,,#VALUE!,#VALUE!
1052,4.31,,,,,,1544,33.1%,,,,,,,,#VALUE!,#VALUE!
1054,4.32,,,,,,1547,33.2%,,,,,,,,#VALUE!,#VALUE!
1056,4.33,,,,,,1551,33.3%,,,,,,,,#VALUE!,#VALUE!
1058,4.34,,,,,,1554,33.4%,,,,,,,,#VALUE!,#VALUE!
1060,4.35,,,,,,1558,33.5%,,,,,,,,#VALUE!,#VALUE!
1062,4.36,,,,,,1561,33.6%,,,,,,,,#VALUE!,#VALUE!
1064,4.37,,,,,,1565,33.7%,,,,,,,,#VALUE!,#VALUE!
1066,4.38,,,,,,1568,33.8%,,,,,,,,#VALUE!,#VALUE!
1068,4.39,,,,,,1572,33.9%,,,,,,,,#VALUE!,#VALUE!
1070,4.4,,,,,,1575,34.0%,,,,,,,,#VALUE!,#VALUE!
1072,4.41,,,,,,1578,34.1%,,,,,,,,#VALUE!,#VALUE!
1074,4.42,,,,,,1582,34.2%,,,,,,,,#VALUE!,#VALUE!
1076,4.43,,,,,,1585,34.3%,,,,,,,,#VALUE!,#VALUE!
1078,4.44,,,,,,1589,34.4%,,,,,,,,#VALUE!,#VALUE!
1080,4.45,,,,,,1592,34.5%,,,,,,,,#VALUE!,#VALUE!
1082,4.46,,,,,,1596,34.6%,,,,,,,,#VALUE!,#VALUE!
1084,4.47,,,,,,1599,34.7%,,,,,,,,#VALUE!,#VALUE!
1086,4.48,,,,,,1603,34.8%,,,,,,,,#VALUE!,#VALUE!
1088,4.49,,,,,,1606,34.9%,,,,,,,,#VALUE!,#VALUE!
1090,4.5,,,,,,1610,35.0%,,,,,,,,#VALUE!,#VALUE!
1092,4.51,,,,,,1613,35.1%,,,,,,,,#VALUE!,#VALUE!
1094,4.52,,,,,,1616,35.2%,,,,,,,,#VALUE!,#VALUE!
1096,4.53,,,,,,1620,35.3%,,,,,,,,#VALUE!,#VALUE!
1098,4.54,,,,,,1623,35.4%,,,,,,,,#VALUE!,#VALUE!
1100,4.55,,,,,,1627,35.5%,,,,,,,,#VALUE!,#VALUE!
1102,4.56,,,,,,1630,35.6%,,,,,,,,#VALUE!,#VALUE!
1104,4.57,,,,,,1634,35.7%,,,,,,,,#VALUE!,#VALUE!
1106,4.58,,,,,,1637,35.8%,,,,,,,,#VALUE!,#VALUE!
1108,4.59,,,,,,1641,35.9%,,,,,,,,#VALUE!,#VALUE!
1110,4.6,,,,,,1644,36.0%,,,,,,,,#VALUE!,#VALUE!
1112,4.61,,,,,,1648,36.1%,,,,,,,,#VALUE!,#VALUE!
1114,4.62,,,,,,1651,36.2%,,,,,,,,#VALUE!,#VALUE!
1116,4.63,,,,,,1654,36.3%,,,,,,,,#VALUE!,#VALUE!
1118,4.64,,,,,,1658,36.4%,,,,,,,,#VALUE!,#VALUE!
1120,4.65,,,,,,1661,36.5%,,,,,,,,#VALUE!,#VALUE!
1122,4.66,,,,,,1665,36.6%,,,,,,,,#VALUE!,#VALUE!
1124,4.67,,,,,,1668,36.7%,,,,,,,,#VALUE!,#VALUE!
1126,4.68,,,,,,1672,36.8%,,,,,,,,#VALUE!,#VALUE!
1128,4.69,,,,,,1675,36.9%,,,,,,,,#VALUE!,#VALUE!
1130,4.7,,,,,,1679,37.0%,,,,,,,,#VALUE!,#VALUE!
1132,4.71,,,,,,1682,37.1%,,,,,,,,#VALUE!,#VALUE!
1134,4.72,,,,,,1686,37.2%,,,,,,,,#VALUE!,#VALUE!
1136,4.73,,,,,,1689,37.3%,,,,,,,,#VALUE!,#VALUE!
1138,4.74,,,,,,1692,37.4%,,,,,,,,#VALUE!,#VALUE!
1140,4.75,,,,,,1696,37.5%,,,,,,,,#VALUE!,#VALUE!
1142,4.76,,,,,,1699,37.6%,,,,,,,,#VALUE!,#VALUE!
1144,4.77,,,,,,1703,37.7%,,,,,,,,#VALUE!,#VALUE!
1146,4.78,,,,,,1706,37.8%,,,,,,,,#VALUE!,#VALUE!
1148,4.79,,,,,,1710,37.9%,,,,,,,,#VALUE!,#VALUE!
1150,4.8,,,,,,1713,38.0%,,,,,,,,#VALUE!,#VALUE!
1152,4.81,,,,,,1717,38.1%,,,,,,,,#VALUE!,#VALUE!
1154,4.82,,,,,,1720,38.2%,,,,,,,,#VALUE!,#VALUE!
1156,4.83,,,,,,1724,38.3%,,,,,,,,#VALUE!,#VALUE!
1158,4.84,,,,,,1727,38.4%,,,,,,,,#VALUE!,#VALUE!
1160,4.85,,,,,,1730,38.5%,,,,,,,,#VALUE!,#VALUE!
1162,4.86,,,,,,1734,38.6%,,,,,,,,#VALUE!,#VALUE!
1164,4.87,,,,,,1737,38.7%,,,,,,,,#VALUE!,#VALUE!
1166,4.88,,,,,,1741,38.8%,,,,,,,,#VALUE!,#VALUE!
1168,4.89,,,,,,1744,38.9%,,,,,,,,#VALUE!,#VALUE!
1170,4.9,,,,,,1748,39.0%,,,,,,,,#VALUE!,#VALUE!
1172,4.91,,,,,,1751,39.1%,,,,,,,,#VALUE!,#VALUE!
1174,4.92,,,,,,1755,39.2%,,,,,,,,#VALUE!,#VALUE!
1176,4.93,,,,,,1758,39.3%,,,,,,,,#VALUE!,#VALUE!
1178,4.94,,,,,,1762,39.4%,,,,,,,,#VALUE!,#VALUE!
1180,4.95,,,,,,1765,39.5%,,,,,,,,#VALUE!,#VALUE!
1182,4.96,,,,,,1768,39.6%,,,,,,,,#VALUE!,#VALUE!
1184,4.97,,,,,,1772,39.7%,,,,,,,,#VALUE!,#VALUE!
1186,4.98,,,,,,1775,39.8%,,,,,,,,#VALUE!,#VALUE!
1188,4.99,,,,,,1779,39.9%,,,,,,,,#VALUE!,#VALUE!
1190,5,,,,,,1782,40.0%,,,,,,,,#VALUE!,#VALUE!
1192,5.01,,,,,,1786,40.1%,,,,,,,,#VALUE!,#VALUE!
1194,5.02,,,,,,1789,40.2%,,,,,,,,#VALUE!,#VALUE!
1196,5.03,,,,,,1793,40.3%,,,,,,,,#VALUE!,#VALUE!
1198,5.04,,,,,,1796,40.4%,,,,,,,,#VALUE!,#VALUE!
1200,5.05,,,,,,1800,40.5%,,,,,,,,#VALUE!,#VALUE!
1202,5.06,,,,,,1803,40.6%,,,,,,,,#VALUE!,#VALUE!
1204,5.07,,,,,,1806,40.7%,,,,,,,,#VALUE!,#VALUE!
1206,5.08,,,,,,1810,40.8%,,,,,,,,#VALUE!,#VALUE!
1208,5.09,,,,,,1813,40.9%,,,,,,,,#VALUE!,#VALUE!
1210,5.1,,,,,,1817,41.0%,,,,,,,,#VALUE!,#VALUE!
1212,5.11,,,,,,1820,41.1%,,,,,,,,#VALUE!,#VALUE!
1214,5.12,,,,,,1824,41.2%,,,,,,,,#VALUE!,#VALUE!
1216,5.13,,,,,,1827,41.3%,,,,,,,,#VALUE!,#VALUE!
1218,5.14,,,,,,1831,41.4%,,,,,,,,#VALUE!,#VALUE!
1220,5.15,,,,,,1834,41.5%,,,,,,,,#VALUE!,#VALUE!
1222,5.16,,,,,,1838,41.6%,,,,,,,,#VALUE!,#VALUE!
1224,5.17,,,,,,1841,41.7%,,,,,,,,#VALUE!,#VALUE!
1226,5.18,,,,,,1844,41.8%,,,,,,,,#VALUE!,#VALUE!
1228,5.19,,,,,,1848,41.9%,,,,,,,,#VALUE!,#VALUE!
1230,5.2,,,,,,1851,42.0%,,,,,,,,#VALUE!,#VALUE!
1232,5.21,,,,,,1855,42.1%,,,,,,,,#VALUE!,#VALUE!
1234,5.22,,,,,,1858,42.2%,,,,,,,,#VALUE!,#VALUE!
1236,5.23,,,,,,1862,42.3%,,,,,,,,#VALUE!,#VALUE!
1238,5.24,,,,,,1865,42.4%,,,,,,,,#VALUE!,#VALUE!
1240,5.25,,,,,,1869,42.5%,,,,,,,,#VALUE!,#VALUE!
1242,5.26,,,,,,1872,42.6%,,,,,,,,#VALUE!,#VALUE!
1244,5.27,,,,,,1876,42.7%,,,,,,,,#VALUE!,#VALUE!
1246,5.28,,,,,,1879,42.8%,,,,,,,,#VALUE!,#VALUE!
1248,5.29,,,,,,1882,42.9%,,,,,,,,#VALUE!,#VALUE!
1250,5.3,,,,,,1886,43.0%,,,,,,,,#VALUE!,#VALUE!
1252,5.31,,,,,,1889,43.1%,,,,,,,,#VALUE!,#VALUE!
1254,5.32,,,,,,1893,43.2%,,,,,,,,#VALUE!,#VALUE!
1256,5.33,,,,,,1896,43.3%,,,,,,,,#VALUE!,#VALUE!
1258,5.34,,,,,,1900,43.4%,,,,,,,,#VALUE!,#VALUE!
1260,5.35,,,,,,1903,43.5%,,,,,,,,#VALUE!,#VALUE!
1262,5.36,,,,,,1907,43.6%,,,,,,,,#VALUE!,#VALUE!
1264,5.37,,,,,,1910,43.7%,,,,,,,,#VALUE!,#VALUE!
1266,5.38,,,,,,1914,43.8%,,,,,,,,#VALUE!,#VALUE!
1268,5.39,,,,,,1917,43.9%,,,,,,,,#VALUE!,#VALUE!
1270,5.4,,,,,,1920,44.0%,,,,,,,,#VALUE!,#VALUE!
1272,5.41,,,,,,1924,44.1%,,,,,,,,#VALUE!,#VALUE!
1274,5.42,,,,,,1927,44.2%,,,,,,,,#VALUE!,#VALUE!
1276,5.43,,,,,,1931,44.3%,,,,,,,,#VALUE!,#VALUE!
1278,5.44,,,,,,1934,44.4%,,,,,,,,#VALUE!,#VALUE!
1280,5.45,,,,,,1938,44.5%,,,,,,,,#VALUE!,#VALUE!
1282,5.46,,,,,,1941,44.6%,,,,,,,,#VALUE!,#VALUE!
1284,5.47,,,,,,1945,44.7%,,,,,,,,#VALUE!,#VALUE!
1286,5.48,,,,,,1948,44.8%,,,,,,,,#VALUE!,#VALUE!
1288,5.49,,,,,,1952,44.9%,,,,,,,,#VALUE!,#VALUE!
1290,5.5,,,,,,1955,45.0%,,,,,,,,#VALUE!,#VALUE!
1292,5.51,,,,,,1958,45.1%,,,,,,,,#VALUE!,#VALUE!
1294,5.52,,,,,,1962,45.2%,,,,,,,,#VALUE!,#VALUE!
1296,5.53,,,,,,1965,45.3%,,,,,,,,#VALUE!,#VALUE!
1298,5.54,,,,,,1969,45.4%,,,,,,,,#VALUE!,#VALUE!
1300,5.55,,,,,,1972,45.5%,,,,,,,,#VALUE!,#VALUE!
1302,5.56,,,,,,1976,45.6%,,,,,,,,#VALUE!,#VALUE!
1304,5.57,,,,,,1979,45.7%,,,,,,,,#VALUE!,#VALUE!
1306,5.58,,,,,,1983,45.8%,,,,,,,,#VALUE!,#VALUE!
1308,5.59,,,,,,1986,45.9%,,,,,,,,#VALUE!,#VALUE!
1310,5.6,,,,,,1990,46.0%,,,,,,,,#VALUE!,#VALUE!
1312,5.61,,,,,,1993,46.1%,,,,,,,,#VALUE!,#VALUE!
1314,5.62,,,,,,1996,46.2%,,,,,,,,#VALUE!,#VALUE!
1316,5.63,,,,,,2000,46.3%,,,,,,,,#VALUE!,#VALUE!
1318,5.64,,,,,,2003,46.4%,,,,,,,,#VALUE!,#VALUE!
1320,5.65,,,,,,2007,46.5%,,,,,,,,#VALUE!,#VALUE!
1322,5.66,,,,,,2010,46.6%,,,,,,,,#VALUE!,#VALUE!
1324,5.67,,,,,,2014,46.7%,,,,,,,,#VALUE!,#VALUE!
1326,5.68,,,,,,2017,46.8%,,,,,,,,#VALUE!,#VALUE!
1328,5.69,,,,,,2021,46.9%,,,,,,,,#VALUE!,#VALUE!
1330,5.7,,,,,,2024,47.0%,,,,,,,,#VALUE!,#VALUE!
1332,5.71,,,,,,2028,47.1%,,,,,,,,#VALUE!,#VALUE!
1334,5.72,,,,,,2031,47.2%,,,,,,,,#VALUE!,#VALUE!
1336,5.73,,,,,,2034,47.3%,,,,,,,,#VALUE!,#VALUE!
1338,5.74,,,,,,2038,47.4%,,,,,,,,#VALUE!,#VALUE!
1340,5.75,,,,,,2041,47.5%,,,,,,,,#VALUE!,#VALUE!
1342,5.76,,,,,,2045,47.6%,,,,,,,,#VALUE!,#VALUE!
1344,5.77,,,,,,2048,47.7%,,,,,,,,#VALUE!,#VALUE!
1346,5.78,,,,,,2052,47.8%,,,,,,,,#VALUE!,#VALUE!
1348,5.79,,,,,,2055,47.9%,,,,,,,,#VALUE!,#VALUE!
1350,5.8,,,,,,2059,48.0%,,,,,,,,#VALUE!,#VALUE!
1352,5.81,,,,,,2062,48.1%,,,,,,,,#VALUE!,#VALUE!
1354,5.82,,,,,,2066,48.2%,,,,,,,,#VALUE!,#VALUE!
1356,5.83,,,,,,2069,48.3%,,,,,,,,#VALUE!,#VALUE!
1358,5.84,,,,,,2072,48.4%,,,,,,,,#VALUE!,#VALUE!
1360,5.85,,,,,,2076,48.5%,,,,,,,,#VALUE!,#VALUE!
1362,5.86,,,,,,2079,48.6%,,,,,,,,#VALUE!,#VALUE!
1364,5.87,,,,,,2083,48.7%,,,,,,,,#VALUE!,#VALUE!
1366,5.88,,,,,,2086,48.8%,,,,,,,,#VALUE!,#VALUE!
1368,5.89,,,,,,2090,48.9%,,,,,,,,#VALUE!,#VALUE!
1370,5.9,,,,,,2093,49.0%,,,,,,,,#VALUE!,#VALUE!
1372,5.91,,,,,,2097,49.1%,,,,,,,,#VALUE!,#VALUE!
1374,5.92,,,,,,2100,49.2%,,,,,,,,#VALUE!,#VALUE!
1376,5.93,,,,,,2104,49.3%,,,,,,,,#VALUE!,#VALUE!
1378,5.94,,,,,,2107,49.4%,,,,,,,,#VALUE!,#VALUE!
1380,5.95,,,,,,2110,49.5%,,,,,,,,#VALUE!,#VALUE!
1382,5.96,,,,,,2114,49.6%,,,,,,,,#VALUE!,#VALUE!
1384,5.97,,,,,,2117,49.7%,,,,,,,,#VALUE!,#VALUE!
1386,5.98,,,,,,2121,49.8%,,,,,,,,#VALUE!,#VALUE!
1388,5.99,,,,,,2124,49.9%,,,,,,,,#VALUE!,#VALUE!
1390,6,,,,,,2128,50.0%,,,,,,,,#VALUE!,#VALUE!
1392,6.01,,,,,,2131,50.1%,,,,,,,,#VALUE!,#VALUE!
1394,6.02,,,,,,2135,50.2%,,,,,,,,#VALUE!,#VALUE!
1396,6.03,,,,,,2138,50.3%,,,,,,,,#VALUE!,#VALUE!
1398,6.04,,,,,,2142,50.4%,,,,,,,,#VALUE!,#VALUE!
1400,6.05,,,,,,2145,50.5%,,,,,,,,#VALUE!,#VALUE!
1402,6.06,,,,,,2148,50.6%,,,,,,,,#VALUE!,#VALUE!
1404,6.07,,,,,,2152,50.7%,,,,,,,,#VALUE!,#VALUE!
1406,6.08,,,,,,2155,50.8%,,,,,,,,#VALUE!,#VALUE!
1408,6.09,,,,,,2159,50.9%,,,,,,,,#VALUE!,#VALUE!
1410,6.1,,,,,,2162,51.0%,,,,,,,,#VALUE!,#VALUE!
1412,6.11,,,,,,2166,51.1%,,,,,,,,#VALUE!,#VALUE!
1414,6.12,,,,,,2169,51.2%,,,,,,,,#VALUE!,#VALUE!
1416,6.13,,,,,,2173,51.3%,,,,,,,,#VALUE!,#VALUE!
1418,6.14,,,,,,2176,51.4%,,,,,,,,#VALUE!,#VALUE!
1420,6.15,,,,,,2180,51.5%,,,,,,,,#VALUE!,#VALUE!
1422,6.16,,,,,,2183,51.6%,,,,,,,,#VALUE!,#VALUE!
1424,6.17,,,,,,2186,51.7%,,,,,,,,#VALUE!,#VALUE!
1426,6.18,,,,,,2190,51.8%,,,,,,,,#VALUE!,#VALUE!
1428,6.19,,,,,,2193,51.9%,,,,,,,,#VALUE!,#VALUE!
1430,6.2,,,,,,2197,52.0%,,,,,,,,#VALUE!,#VALUE!
1432,6.21,,,,,,2200,52.1%,,,,,,,,#VALUE!,#VALUE!
1434,6.22,,,,,,2204,52.2%,,,,,,,,#VALUE!,#VALUE!
1436,6.23,,,,,,2207,52.3%,,,,,,,,#VALUE!,#VALUE!
1438,6.24,,,,,,2211,52.4%,,,,,,,,#VALUE!,#VALUE!
1440,6.25,,,,,,2214,52.5%,,,,,,,,#VALUE!,#VALUE!
1442,6.26,,,,,,2218,52.6%,,,,,,,,#VALUE!,#VALUE!
1444,6.27,,,,,,2221,52.7%,,,,,,,,#VALUE!,#VALUE!
1446,6.28,,,,,,2224,52.8%,,,,,,,,#VALUE!,#VALUE!
1448,6.29,,,,,,2228,52.9%,,,,,,,,#VALUE!,#VALUE!
1450,6.3,,,,,,2231,53.0%,,,,,,,,#VALUE!,#VALUE!
1452,6.31,,,,,,2235,53.1%,,,,,,,,#VALUE!,#VALUE!
1454,6.32,,,,,,2238,53.2%,,,,,,,,#VALUE!,#VALUE!
1456,6.33,,,,,,2242,53.3%,,,,,,,,#VALUE!,#VALUE!
1458,6.34,,,,,,2245,53.4%,,,,,,,,#VALUE!,#VALUE!
1460,6.35,,,,,,2249,53.5%,,,,,,,,#VALUE!,#VALUE!
1462,6.36,,,,,,2252,53.6%,,,,,,,,#VALUE!,#VALUE!
1464,6.37,,,,,,2256,53.7%,,,,,,,,#VALUE!,#VALUE!
1466,6.38,,,,,,2259,53.8%,,,,,,,,#VALUE!,#VALUE!
1468,6.39,,,,,,2262,53.9%,,,,,,,,#VALUE!,#VALUE!
1470,6.4,,,,,,2266,54.0%,,,,,,,,#VALUE!,#VALUE!
1472,6.41,,,,,,2269,54.1%,,,,,,,,#VALUE!,#VALUE!
1474,6.42,,,,,,2273,54.2%,,,,,,,,#VALUE!,#VALUE!
1476,6.43,,,,,,2276,54.3%,,,,,,,,#VALUE!,#VALUE!
1478,6.44,,,,,,2280,54.4%,,,,,,,,#VALUE!,#VALUE!
1480,6.45,,,,,,2283,54.5%,,,,,,,,#VALUE!,#VALUE!
1482,6.46,,,,,,2287,54.6%,,,,,,,,#VALUE!,#VALUE!
1484,6.47,,,,,,2290,54.7%,,,,,,,,#VALUE!,#VALUE!
1486,6.48,,,,,,2294,54.8%,,,,,,,,#VALUE!,#VALUE!
1488,6.49,,,,,,2297,54.9%,,,,,,,,#VALUE!,#VALUE!
1490,6.5,,,,,,2300,55.0%,,,,,,,,#VALUE!,#VALUE!
1492,6.51,,,,,,2304,55.1%,,,,,,,,#VALUE!,#VALUE!
1494,6.52,,,,,,2307,55.2%,,,,,,,,#VALUE!,#VALUE!
1496,6.53,,,,,,2311,55.3%,,,,,,,,#VALUE!,#VALUE!
1498,6.54,,,,,,2314,55.4%,,,,,,,,#VALUE!,#VALUE!
1500,6.55,,,,,,2318,55.5%,,,,,,,,#VALUE!,#VALUE!
1502,6.56,,,,,,2321,55.6%,,,,,,,,#VALUE!,#VALUE!
1504,6.57,,,,,,2325,55.7%,,,,,,,,#VALUE!,#VALUE!
1506,6.58,,,,,,2328,55.8%,,,,,,,,#VALUE!,#VALUE!
1508,6.59,,,,,,2332,55.9%,,,,,,,,#VALUE!,#VALUE!
1510,6.6,,,,,,2335,56.0%,,,,,,,,#VALUE!,#VALUE!
1512,6.61,,,,,,2338,56.1%,,,,,,,,#VALUE!,#VALUE!
1514,6.62,,,,,,2342,56.2%,,,,,,,,#VALUE!,#VALUE!
1516,6.63,,,,,,2345,56.3%,,,,,,,,#VALUE!,#VALUE!
1518,6.64,,,,,,2349,56.4%,,,,,,,,#VALUE!,#VALUE!
1520,6.65,,,,,,2352,56.5%,,,,,,,,#VALUE!,#VALUE!
1522,6.66,,,,,,2356,56.6%,,,,,,,,#VALUE!,#VALUE!
1524,6.67,,,,,,2359,56.7%,,,,,,,,#VALUE!,#VALUE!
1526,6.68,,,,,,2363,56.8%,,,,,,,,#VALUE!,#VALUE!
1528,6.69,,,,,,2366,56.9%,,,,,,,,#VALUE!,#VALUE!
1530,6.7,,,,,,2370,57.0%,,,,,,,,#VALUE!,#VALUE!
1532,6.71,,,,,,2373,57.1%,,,,,,,,#VALUE!,#VALUE!
1534,6.72,,,,,,2376,57.2%,,,,,,,,#VALUE!,#VALUE!
1536,6.73,,,,,,2380,57.3%,,,,,,,,#VALUE!,#VALUE!
1538,6.74,,,,,,2383,57.4%,,,,,,,,#VALUE!,#VALUE!
1540,6.75,,,,,,2387,57.5%,,,,,,,,#VALUE!,#VALUE!
1542,6.76,,,,,,2390,57.6%,,,,,,,,#VALUE!,#VALUE!
1544,6.77,,,,,,2394,57.7%,,,,,,,,#VALUE!,#VALUE!
1546,6.78,,,,,,2397,57.8%,,,,,,,,#VALUE!,#VALUE!
1548,6.79,,,,,,2401,57.9%,,,,,,,,#VALUE!,#VALUE!
1550,6.8,,,,,,2404,58.0%,,,,,,,,#VALUE!,#VALUE!
1552,6.81,,,,,,2408,58.1%,,,,,,,,#VALUE!,#VALUE!
1554,6.82,,,,,,2411,58.2%,,,,,,,,#VALUE!,#VALUE!
1556,6.83,,,,,,2414,58.3%,,,,,,,,#VALUE!,#VALUE!
1558,6.84,,,,,,2418,58.4%,,,,,,,,#VALUE!,#VALUE!
1560,6.85,,,,,,2421,58.5%,,,,,,,,#VALUE!,#VALUE!
1562,6.86,,,,,,2425,58.6%,,,,,,,,#VALUE!,#VALUE!
1564,6.87,,,,,,2428,58.7%,,,,,,,,#VALUE!,#VALUE!
1566,6.88,,,,,,2432,58.8%,,,,,,,,#VALUE!,#VALUE!
1568,6.89,,,,,,2435,58.9%,,,,,,,,#VALUE!,#VALUE!
1570,6.9,,,,,,2439,59.0%,,,,,,,,#VALUE!,#VALUE!
1572,6.91,,,,,,2442,59.1%,,,,,,,,#VALUE!,#VALUE!
1574,6.92,,,,,,2446,59.2%,,,,,,,,#VALUE!,#VALUE!
1576,6.93,,,,,,2449,59.3%,,,,,,,,#VALUE!,#VALUE!
1578,6.94,,,,,,2452,59.4%,,,,,,,,#VALUE!,#VALUE!
1580,6.95,,,,,,2456,59.5%,,,,,,,,#VALUE!,#VALUE!
1582,6.96,,,,,,2459,59.6%,,,,,,,,#VALUE!,#VALUE!
1584,6.97,,,,,,2463,59.7%,,,,,,,,#VALUE!,#VALUE!
1586,6.98,,,,,,2466,59.8%,,,,,,,,#VALUE!,#VALUE!
1588,6.99,,,,,,2470,59.9%,,,,,,,,#VALUE!,#VALUE!
1590,7,,,,,,2473,60.0%,,,,,,,,#VALUE!,#VALUE!
1592,7.01,,,,,,2477,60.1%,,,,,,,,#VALUE!,#VALUE!
1594,7.02,,,,,,2480,60.2%,,,,,,,,#VALUE!,#VALUE!
1596,7.03,,,,,,2484,60.3%,,,,,,,,#VALUE!,#VALUE!
1598,7.04,,,,,,2487,60.4%,,,,,,,,#VALUE!,#VALUE!
